Port of Rostov-on-Don;RURND;39.60442798860421 47.16791661764898,39.59687488801828 47.1844860488111,39.71886889958805 47.22343883603949,39.72539203191226 47.20742577842017,39.67286365056461 47.18254154532821,39.60442798860421 47.16791661764898
Port of Map Ta Phut;THMTP;101.1246634885416 12.63545855661263,101.1273242398844 12.67783355366996,101.168136732255 12.67607504759469,101.1686946317301 12.63813860669505,101.1246634885416 12.63545855661263
Port of Mangalore;INIXE;74.80129212100981 12.91572825126201,74.79789322522227 12.939419401494234,74.82395142145795 12.93506950004982,74.81694763937374 12.914992048027258,74.80129212100981 12.91572825126201
Port of Quellon;CLQUV;-73.62853404743387 -43.12488892865619,-73.63482829879527 -43.11507378034543,-73.62773296013498 -43.11478139075205,-73.60822078274819 -43.12004420115929,-73.60799190178537 -43.12405365956717,-73.62853404743387 -43.12488892865619
Port of Mejillones;CLMJS;-70.48116590791979 -23.10867169757586,-70.47956373594134 -23.09203983106983,-70.46230633220927 -23.09214086854085,-70.42625744304911 -23.08629818026452,-70.41631637919015 -23.08021415717965,-70.38597544906585 -23.0623141893432,-70.3708448568861 -23.07056273897983,-70.38366224319107 -23.09098710919947,-70.45347120664447 -23.11498705422791,-70.48116590791979 -23.10867169757586
Port Said;EGPSD;32.29754626894997 31.22536229725721,32.29611900731312 31.26443971572934,32.31874970058767 31.27346335987865,32.32046631435721 31.27292538841537,32.32474039666045 31.27798164150009,32.32941816918242 31.27541414935084,32.32405364744761 31.24932332089089,32.31125056800362 31.22555802338654,32.29754626894997 31.22536229725721
Port of Playa del Carmen;MXPCM;-87.07619228101171 20.61926347537497,-87.07619228101171 20.63083120110917,-87.06154883582435 20.63083120110917,-87.06154883582435 20.61926347537497,-87.07619228101171 20.61926347537497
IJMUIDEN;NLIJM;4.558712328104389 52.4540908887117,4.555164658774243 52.46217997851409,4.55702432281812 52.46798437956897,4.585250103574413 52.48995729020339,4.699041563805833 52.47988519150684,4.66622389803454 52.46159903377227,4.657973421795059 52.46396536674072,4.648729407488863 52.46480511773927,4.640943849224858 52.46484869470956,4.63202997612665 52.46585312898512,4.628375019418161 52.46664838047533,4.623783449967879 52.46903756164045,4.612704138378751 52.4706932921822,4.609950404881521 52.47136863743049,4.597204547642751 52.47196119008771,4.578822317052628 52.46839315175509,4.567435915892931 52.46772865327716,4.557031326699873 52.46798791733778,4.555160932837682 52.46219114308664,4.563286238777439 52.46258117693898,4.573328429656615 52.46253759732511,4.58467059658324 52.46340699265286,4.642318530119157 52.46239160682043,4.657682225975806 52.46068326768665,4.6725023213603 52.454965076658,4.669208119142538 52.44998243583058,4.558712328104389 52.4540908887117
Port of Ulsan;KRUSN;129.3434461207471 35.415288351712675,129.32748161269043 35.479057227887836,129.36610542250494 35.532578436076435,129.38275657606943 35.5398422725698,129.43431000874958 35.48379360900634,129.43173508809517 35.47149199421537,129.3891630666108 35.46562010540316,129.3754301564545 35.415272046440265,129.3434461207471 35.415288351712675
Port of Jiangyin;CNJIA;120.1760694102198 31.89808523868921,120.0648660071592 31.93148307685065,120.065295168379 31.97918231764436,120.3219772957943 31.99801876321676,120.3294609748823 31.98827426049463,120.2678517852176 31.94740041353926,120.2586965152726 31.94424437772116,120.2258049963045 31.94065122523301,120.1729905091695 31.94453570837211,120.1499878898964 31.9477888393784,120.0651878689668 31.96636213725832,120.0650787922486 31.95407374293507,120.1165607545905 31.93780132650407,120.1440874450784 31.93051615869084,120.164368448072 31.92774914775011,120.2152374378554 31.92709353276962,120.2326038454109 31.92821050215586,120.2549198257244 31.93163417614858,120.2598980056561 31.93593179919685,120.2724578943295 31.94127319601373,120.3475840056776 31.96467196328217,120.3584553383968 31.9505109100657,120.2453343141994 31.91677526560915,120.1760694102198 31.89808523868921
Port of Fuzhou;CNFOC;119.5048945343895 26.08615364415057,119.5407717621727 26.06770259454265,119.4621099688038 25.94577118034479,119.3037544103269 25.45748460335494,119.3516248654506 25.44127238777749,119.3358893108038 25.38795647616544,119.2493147598529 25.42604925182081,119.2592422141013 25.46641752725272,119.303742631384 25.45749022232168,119.4621051263943 25.94577053910217,119.425551987886 25.95262003101973,119.4325413123397 26.00621307814752,119.5048945343895 26.08615364415057
Port of Yingkou;CNYIK;121.9441343795218 40.66809909472715,121.932063763136 40.76277026588079,122.0807701496353 40.72468187306259,122.1030861286391 40.67340504167538,122.0227552901663 40.64387662519579,121.9441343795218 40.66809909472715
Port of Montreal;CAMTR;-73.55574542265671 45.53682174208359,-73.51248675566453 45.64197363023311,-73.48699700587316 45.6334845911544,-73.50055825989115 45.61847839827522,-73.50771081551797 45.60378844683399,-73.50193154566809 45.58625153554524,-73.50679529166669 45.57515801223957,-73.52006650528627 45.55293899130584,-73.53099561120605 45.53971478636339,-73.53906369592285 45.53530602916192,-73.54455685998535 45.51341171554753,-73.54346966951842 45.48891295389046,-73.56192523222703 45.48573649916028,-73.55574542265671 45.53682174208359
Port of Singapore;SGSIN;103.5859925093987 1.215703688667858,103.6306305740319 1.344545000174946,103.6760513612893 1.430081119297441,103.7114937945412 1.309810852048059,103.7115224043341 1.296367520022756,103.7294610195354 1.298741561900982,103.7315781756446 1.31257101737144,103.7115027343647 1.309807277904042,103.6760546531482 1.430071731566343,103.7199956595087 1.457735477918618,103.7623465028389 1.448246697710729,103.8090306867035 1.478099279637448,103.832015724436 1.473658022402475,103.853642702483 1.464411559418096,103.8936970202796 1.42974702066067,103.9989555723857 1.397546812815719,104.0415710171621 1.354731399748587,104.0438026150625 1.350870095300877,104.0357345303456 1.306464657503625,103.9987276206676 1.306420501854504,103.9687096212998 1.313965482451621,103.8889501701061 1.284796698128872,103.8481841161544 1.250793953124315,103.8055474105217 1.26238466441454,103.7782532515862 1.248826671885681,103.8084656539299 1.198712984491948,103.7921578231194 1.194594009969819,103.7286431136467 1.238186173031806,103.6773163619377 1.219479386239215,103.5859925093987 1.215703688667858
Sakaide;JPSKD;133.8512090241426 34.36571925477273,133.8678289655952 34.34758637702976,133.8938512650208 34.36423785243713,133.9082084069384 34.35212801519613,133.8869848204201 34.32503558476247,133.8145281185286 34.31498312500925,133.8192097886355 34.35454438613007,133.8512090241426 34.36571925477273
Lushun;CNLSH;121.1363896973339 38.82359905451366,121.1500445719716 38.81034561358231,121.1240612798278 38.78784558925005,121.1085337413382 38.81727662090208,121.1363896973339 38.82359905451366
Malacca Port;MYMKZ;102.11617597764767 2.241108091470467,102.11617597764767 2.258480995422106,102.13675765207427 2.258480995422106,102.13675765207427 2.241108091470467,102.11617597764767 2.241108091470467
Arnold's Cove Harbour;CAARC;-54.01944455020547 47.75864963146148,-54.01944455020547 47.775927539666604,-53.98890359450461 47.775927539666604,-53.98890359450461 47.75864963146148,-54.01944455020547 47.75864963146148
Port of Kitakyushu;JPKKJ;130.8212404086328 33.90181072488092,130.8082182227927 33.9492362261015,130.8262426699921 33.95573885342866,130.8361820730133 33.95447764755653,130.8547527745949 33.93475778730136,130.8988125315054 33.89657988529926,130.9142541233178 33.89739718966403,130.9235810546398 33.90281146300192,130.9109353297118 33.91045734963467,130.9014367370129 33.91259427646672,130.8700254904981 33.95018313306836,130.8914803771496 33.94578099208904,130.9108781127453 33.92740882884294,130.9111642185327 33.91031488594083,130.9366352514016 33.89496501853814,130.8962805117889 33.88057236946491,130.8670980777069 33.89320763000286,130.8212404086328 33.90181072488092
Port of Hirohata;JPHRH;134.569664706631 34.78724724146375,134.6448523897364 34.79461258976862,134.6453300040232 34.76597361992555,134.6140017988004 34.75692448577745,134.5592990404479 34.75598425609854,134.569664706631 34.78724724146375
Port of Tianjin;CNTSN;117.3899100241551 38.95880856975353,117.4338553785646 39.09145578072952,117.7080558040479 39.10317933984791,117.8719351706395 39.04738621945913,117.9085562923291 38.93637978046416,117.7231620052197 38.66417918383291,117.4526236751416 38.6076827100357,117.3899100241551 38.95880856975353
Port of Tolkkinen;FITOK;25.54085788663161 60.295478296798166,25.563688849766375 60.343163752604426,25.58583316739333 60.3372174975199,25.54617938931716 60.29411726231021,25.54085788663161 60.295478296798166
